Year/Publisher,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Nintendo,49.95,16.18,11.95,36.44,63.88,35.49,15.97,38.11,20.04,24.99,16.72,73.7,25.8,48.41,65.33,34.05,45.37,48.31,38.14,60.65,127.47,205.61,104.18,91.22,128.89,61.07,51.53,56.47,52.79,48.65,27.08,0
Namco Bandai Games,1.46,5.28,2.67,0.76,1.1,0,0,0,5.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49
Hudson Soft,1.03,4.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capcom,1,5.3,2.94,2.94,1.67,3.92,2.23,12.4,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Activision,0.48,0,1.12,0,0,0,0,0,0,0,4.21,0,0,0,0,0,0,25.94,21.38,39.23,35.39,0,63.57,67.41,78.06,63.39,51.74,53.25,43.49,44.48,35.63,3.67
Konami Digital Entertainment,0,4.99,0.93,0,0,2.23,2.56,0,0,1,2,3,4,15.39,15.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enix Corporation,0,0,2.56,3.87,0,3.12,0,0,0,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palcom,0,0,0,0,4.17,0,0,0,0,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sega,0,0,0,0,0,2.6,4.34,7.98,0,7.53,7.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SquareSoft,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acclaim Entertainment,0,0,0,0,0,0,0,0,1.93,5.74,0,0,0,13.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arena Entertainment,0,0,0,0,0,0,0,4.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sony Computer Entertainment,0,0,0,0,0,0,0,0,0,0,18.45,35.07,43.9,34.64,36.24,21.69,43.29,25.85,24.32,35.16,26.38,33.81,37.54,0,36.53,0,27.4,0,0,0,0,6.56
Square,0,0,0,0,0,0,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SquareSoft,0,0,0,0,0,0,0,3.42,3,3.74,5.1,0,6.68,0,13.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgin Interactive,0,0,0,0,0,0,0,0,0,6.81,0,14.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Activision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eidos Interactive,0,0,0,0,0,0,0,0,0,0,0,5.89,13.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electronic Arts,0,0,0,0,0,0,0,0,0,0,0,7.9,22.94,29.95,20.15,25.13,45.12,73.01,69.83,67.33,67.01,58.41,71.33,84.12,86.2,81.38,72.25,49.9,52.92,46.8,45.42,12.25
THQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.86,22.25,26.88,29.38,28.69,0,24.94,0,0,0,0,0,0,0,0,0,0
Bethesda Softworks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.44,0
Konami Digital Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft Game Studios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.16,0,0,0,0,0,0
Take-Two Interactive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,20.59,0,46.18,0,0,0,21.58,52.41,30.26,0,0
Ubisoft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.6,57.44,47.01,42.62,48.03,37.31,27.39,41.95,0,9.76
Warner Bros. Interactive Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.74,0
